,CB9_AGECAT_SERVE_0,CB9_AGECAT_SERVE_1,CB9_AGECAT_SERVE_2,CB9_AGECAT_SERVE_3,CB9_AGECAT_SERVE_4,CB9_AGECAT_SERVE_5,CB9_AGECAT_SERVE_SA,CB9_METH_CASEID,CB9_PRGM_AUSPICE_EXP,CB9_RVNU_CENTER_FUND_COMBO,CB9_RVNU_CHRG,CB9_RVNU_CNTRBTNS,CB9_RVNU_GOVT_FEDERAL,CB9_RVNU_GOVT_LOCAL,CB9_RVNU_GOVT_STATE,CB9_RVNU_PUBLIC_PRIVATE_MIX,CB9_SERVE_0TO3YRS,CB9_SERVE_0TO5YRS,CB9_SERVE_3TO5YRS,WF9_A12_COLLENROLL,WF9_A13_COURSEOBS,WF9_A14_FUFILL_REQ,WF9_A17_CULTTRAIN,WF9_A18_HELP_SUP,WF9_A19_HRS_SKILLS,WF9_A20_DEMSKILLS_OBS,WF9_ATTITUDES_PMS_PROG,WF9_ATTITUDES_PMS_PROG_IMP,WF9_ATTITUDES_PMS_TOT_TRAD,WF9_ATTITUDES_PMS_TOT_TRAD_IMP,WF9_ATTITUDES_PMS_TRAD,WF9_ATTITUDES_PMS_TRAD_IMP,WF9_C1_MOSTOFTEN,WF9_C5_OVER4HR_TRAIN,WF9_CAREER_CERT,WF9_CAREER_CERT_CDA,WF9_CAREER_CERT_ECE,WF9_CAREER_EXPERIENCE,WF9_CAREER_HBPAID,WF9_CAREER_PROFASSOC,WF9_CAREER_REASON,WF9_CAREER_SEARCH,WF9_CAREER_SEARCH_WHY,WF9_CAREER_UNION,WF9_CB_COMM_POVERTY_DENSITY,WF9_CB_COMM_URBAN_DENSITY,WF9_CESD7_CUT,WF9_CESD7_IMP_FLAG,WF9_CESD7_TOT,WF9_CHAR_CH_6TO12,WF9_CHAR_CH_UNDER5,WF9_CHAR_COUNTRY_BORN,WF9_CHAR_EDUC,WF9_CHAR_EDUC_MAJOR,WF9_CHAR_FIRSTYRUS,WF9_CHAR_GENDER,WF9_CHAR_GOVT_PRGM,WF9_CHAR_HEALTH_INSRNCE,WF9_CHAR_HHINCOME,WF9_CHAR_HHINCOME_WORK,WF9_CHAR_HISP,WF9_CHAR_LANG,WF9_CHAR_MARITAL,WF9_CHAR_RACE,WF9_CHAR_YEAR_BORN,WF9_CL11_INTERPRETER_PRCNTCH,WF9_CL1_NUM_STAFF,WF9_CL2_A_ANY_STAFF_BLACK,WF9_CL2_B_ANY_STAFF_HISP,WF9_CL2_C_ANY_STAFF_WHITE,WF9_CL2_D_ANY_STAFF_ASIAN,WF9_CL5_NUM_CHCLASS,WF9_CL6A_A_PRCNT_CHCLASS_WHITE,WF9_CL6A_B_PRCNT_CHCLASS_BLACK,WF9_CL6A_C_PRCNT_CHCLASS_ASIAN,WF9_CL6A_D_PRCNT_CHCLASS_MIXED,WF9_CL6_PRCNT_CHCLASS_HISP,WF9_CL8A_FOOD_PRCNTCH,WF9_CLASSRM_3TO5,WF9_CLASSRM_UNDER3,WF9_CL_LANG_NONENGLISH_PRCNTCH,WF9_COMPLETE_DATE,WF9_D11_DEPRESSED,WF9_D11_EAT,WF9_D11_EFFORT,WF9_D11_GETGOING,WF9_D11_MIND,WF9_D11_RESTLESS,WF9_D11_SAD,WF9_D12_PAINT,WF9_D13_CRY,WF9_D14_HIT,WF9_D15_PUZZLE,WF9_D1_BEBAD,WF9_D1_DISAGREE,WF9_D1_DISPARENTS,WF9_D1_IDEAS,WF9_D1_OBEDIENCE,WF9_D1_OBEY,WF9_D1_OBEYTEACH,WF9_D1_POV,WF9_D1_PRETENDING,WF9_D1_RIGHT,WF9_DIS_HHCB_C,WF9_E20_SRHEALTH,WF9_G_ACTIVITY_IT_A,WF9_G_ACTIVITY_IT_B,WF9_G_ACTIVITY_IT_C,WF9_G_ACTIVITY_IT_D,WF9_G_ACTIVITY_IT_E,WF9_G_ACTIVITY_IT_F,WF9_G_ACTIVITY_IT_G,WF9_G_ACTIVITY_IT_I,WF9_G_ACTIVITY_PK_A,WF9_G_ACTIVITY_PK_B,WF9_G_ACTIVITY_PK_C,WF9_G_ACTIVITY_PK_D,WF9_G_ACTIVITY_PK_E,WF9_G_ACTIVITY_PK_F,WF9_G_ACTIVITY_PK_G,WF9_G_ACTIVITY_PK_I,WF9_INTERACTIONS_TOT,WF9_METH_2INTVWF,WF9_METH_CASEID,WF9_METH_DATA_SOURCE,WF9_METH_FILEVERSION,WF9_METH_PUBSCHFLAG,WF9_METH_VPSUPU,WF9_METH_VSTRATUMPU,WF9_METH_WEIGHT,WF9_MODE,WF9_PROFDEV_CLASSRMSTAFF,WF9_PROFDEV_COACH,WF9_PROFDEV_COURSE,WF9_PROFDEV_HELP_COST,WF9_PROFDEV_HELP_TIME,WF9_PROFDEV_HELP_TUITION,WF9_PROFDEV_HS_ONLINE,WF9_PROFDEV_MEETING,WF9_PROFDEV_TOPIC_HS,WF9_PROFDEV_TOPIC_NONHS,WF9_PROFDEV_WRKSHP,WF9_PROFDEV_WRKSHP_TYPE,WF9_QUEXLANG,WF9_REGION,WF9_WEIGHT_CLSM,WF9_WORK_BEHAVIOR,WF9_WORK_BEHAVIOR_SKILLS,WF9_WORK_BGCHK_DISCOURAGE,WF9_WORK_BGCHK_EASY,WF9_WORK_BGCHK_PROTECT,WF9_WORK_CH_HAPPY,WF9_WORK_CH_STRESS,WF9_WORK_CLASSES,WF9_WORK_CRCLM,WF9_WORK_DISABLED,WF9_WORK_FT,WF9_WORK_HELP_AVAILABLE,WF9_WORK_HRS_CAT,WF9_WORK_LANG_FAMILIES,WF9_WORK_LANG_PRCNT,WF9_WORK_LEARNING_SKILLS,WF9_WORK_MONTHS,WF9_WORK_MOVE_CLASSROOMS,WF9_WORK_PLAN,WF9_WORK_PLAN_WHEN,WF9_WORK_PRNTS_APPRCTE,WF9_WORK_PRNTS_BLAME,WF9_WORK_PRNTS_LATE,WF9_WORK_PRNTS_TALK,WF9_WORK_RESPECT,WF9_WORK_REVIEW,WF9_WORK_ROLE,WF9_WORK_SCREENTIME,WF9_WORK_TEAMWORK,WF9_WORK_WAGE,WF9_WORK_WAGE_IMP,WF9_WORK_YRS
0,0,0,1,1,1,1,1,83000060,1,3,1,2,1,2,2,4,1,1,1,2,2,1,2,2,2,1,21,0,19,0,10,0,-2,1,1,2,2,5,2,2,8,1,6,2,1,1,0,0,4.0,1,0,1,6,1,1975,2,2,5,-1,-1,2,1,2,1,1975,0,2,2,1,1,2,15,20,7,13,33,27,13,1,0,40,18-APR-2019,1,2,1,2,1,3,1,1,4,2,1,2,3,4,4,2,2,2,5,5,2,3,2,-2,-2,-2,-2,-2,-2,-2,-2,3,4,2,4,4,4,3,4,4,0,93000061,1,22-OCT-2021,0,1501,15,30.6811850321,1,1,2,1,2,2,2,1,1,1,21,1,1,1,4,17.3380167003,3,6,4,2,1,3,2,2,1,2,1,2,6,5,90,6,12,1,1,4,3,-1,3,2,4,2,2,3,4,-1.0,0,5
1,1,1,1,1,1,1,1,83000160,3,2,1,1,2,1,2,2,1,1,1,2,-2,1,2,1,3,2,16,0,31,0,17,0,-2,1,1,2,2,6,2,2,3,2,-2,2,2,1,0,0,0.0,0,0,1,6,1,1973,2,2,6,2,-1,2,2,1,1,1973,3,2,3,3,1,3,42,-2,-2,0,6,8,0,1,0,6,08-APR-2019,1,1,1,1,1,1,1,1,4,1,1,2,3,3,4,3,5,4,4,2,3,1,2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,2,3,2,3,2,2,3,0,93000161,1,22-OCT-2021,0,207,2,217.4490021713,2,2,2,2,2,2,2,1,1,1,6,1,1,1,2,224.5218263521,2,2,1,1,1,3,1,3,1,2,1,1,5,1,-2,2,12,1,2,-2,3,2,1,2,1,1,2,4,1,8.65384615385,0,2
2,1,1,1,1,1,0,0,83000210,1,1,1,2,2,2,1,2,1,1,1,2,-2,1,2,1,2,2,12,0,40,0,22,0,-2,-2,1,2,2,3,1,2,4,2,-2,2,2,1,1,0,17.0,2,3,1,3,-2,1976,2,1,4,2,5,2,2,4,1,1976,0,2,3,3,1,3,7,100,0,0,0,0,0,0,1,0,08-MAR-2019,4,3,3,3,4,4,3,2,4,4,2,4,2,1,3,4,5,5,2,4,4,1,3,1,1,2,1,5,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,93000211,1,22-OCT-2021,0,2403,24,496.1763864964,2,1,-1,2,1,1,2,2,2,1,1,1,1,1,3,93.830349613,3,3,4,4,1,3,1,1,2,2,1,2,6,-1,-2,3,9,1,2,-2,1,2,-1,2,3,1,1,4,2,4.44444444445,0,2
3,1,1,1,1,1,0,0,83000210,1,1,1,2,2,2,1,2,1,1,1,2,-2,1,2,1,5,1,20,0,33,0,23,0,-2,-2,4,1,1,6,2,2,3,2,-2,2,2,1,1,0,14.0,2,0,1,6,1,1960,2,2,4,2,3,2,2,4,1,1960,0,2,3,3,1,3,7,100,0,0,0,0,0,0,1,0,08-MAR-2019,3,2,3,3,4,3,3,1,4,2,1,5,4,4,4,5,5,5,4,4,3,4,4,1,1,2,3,5,1,2,1,-2,-2,-2,-2,-2,-2,-2,-2,4,1,93000212,1,22-OCT-2021,0,2403,24,496.1763864964,2,1,1,2,1,1,2,1,2,1,7,1,1,1,3,93.830349613,3,5,4,4,1,3,3,4,2,2,1,1,6,2,-2,5,12,1,1,2,2,3,2,3,3,2,2,4,2,10.0,0,3
4,1,1,1,1,1,1,1,83000240,4,1,1,1,2,2,1,2,1,1,1,1,1,1,2,2,3,1,20,0,21,0,11,0,-2,1,2,2,1,1,1,2,2,1,2,2,3,1,0,0,3.0,0,0,1,5,4,2003,2,2,8,2,7,1,1,1,1,1998,0,2,1,1,1,2,12,83,0,0,17,0,0,0,1,0,08-APR-2019,1,1,2,2,2,1,1,3,4,2,1,1,4,4,4,1,4,3,4,4,2,1,3,3,3,1,5,4,3,4,3,-2,-2,-2,-2,-2,-2,-2,-2,3,0,93000241,1,22-OCT-2021,0,417,4,379.9436458475,2,2,2,1,2,2,1,2,2,1,4,2,-2,1,3,138.1993412406,2,2,3,2,1,3,2,2,1,2,2,2,1,2,95,2,9,1,1,2,3,1,1,1,1,2,2,4,1,8.5,0,1
5,0,0,1,1,0,0,0,83000270,4,6,2,2,1,1,1,4,1,1,1,1,1,1,1,1,5,1,22,0,23,1,15,1,-2,1,1,2,2,1,2,2,6,2,-2,1,3,1,0,0,3.0,1,0,3,5,1,2003,2,2,6,2,1,2,2,1,2,1960,5,2,1,2,2,2,20,0,70,0,5,25,-1,1,0,45,20-MAY-2019,1,4,1,1,1,1,1,1,4,2,1,-1,4,4,4,4,2,2,5,5,4,2,1,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,3,2,4,2,2,4,0,93000271,1,22-OCT-2021,0,1916,19,115.7965746674,1,1,1,1,2,1,1,1,1,1,7,1,1,1,1,69.356019161,3,3,3,1,1,3,3,1,1,2,1,1,4,1,-2,2,12,1,1,4,3,1,3,2,1,2,2,3,1,15.0,0,5
6,0,0,1,1,1,0,0,83000430,4,8,1,1,2,2,2,5,1,1,1,2,1,1,2,2,3,1,23,0,17,0,10,0,-2,1,4,1,1,5,1,2,3,2,-2,2,1,1,0,0,7.0,0,0,1,7,1,1965,2,2,2,5,3,2,2,2,1,1965,0,2,3,3,1,3,20,-2,-1,-2,-2,10,0,1,1,5,03-MAY-2019,1,3,2,1,3,3,1,1,4,2,1,3,4,5,5,1,3,2,5,4,1,2,1,-2,-2,-2,-2,-2,-2,-2,-2,5,4,3,5,3,4,4,4,4,0,93000431,1,22-OCT-2021,0,1122,11,244.8877584514,2,1,1,1,2,2,2,1,1,1,13,1,1,1,4,92.2578021089,3,4,2,3,1,3,2,4,1,2,1,2,6,1,-2,4,12,2,1,4,3,1,3,3,1,1,2,4,1,20.83333333334,7,14
7,1,1,1,1,1,0,0,83000450,1,1,1,1,2,2,1,2,1,1,1,2,-2,-2,-2,1,4,2,20,0,30,0,20,0,-2,1,1,2,2,1,2,2,1,2,-2,2,1,1,0,0,1.0,2,0,3,4,-2,2003,2,2,5,2,1,1,1,2,-1,1986,0,1,1,2,2,2,16,63,6,0,19,13,0,1,0,13,17-JUL-2019,1,1,2,1,1,1,1,1,4,2,1,4,4,4,4,4,4,4,4,4,4,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,2,5,3,3,2,3,4,0,93000451,1,22-OCT-2021,0,404,4,1587.2566828732,1,-2,2,2,-2,-2,-2,1,2,1,-2,2,-2,1,3,600.3221795109,2,5,3,2,2,3,1,1,1,2,1,2,5,4,100,5,7,1,1,2,3,1,-1,1,2,1,1,4,2,10.5,0,3
8,0,0,0,1,1,0,0,83000490,3,4,1,2,-1,-1,1,4,0,1,1,2,-2,1,1,1,3,2,11,0,35,0,16,0,-2,-2,3,1,2,4,1,2,3,2,-2,2,3,1,0,0,1.0,0,0,1,7,2,1968,2,2,4,5,6,1,1,2,1,1968,-2,2,3,1,3,3,14,-2,-2,-1,-2,36,-2,1,0,7,23-MAY-2019,1,1,1,1,1,2,1,1,4,2,1,2,2,2,3,2,5,4,3,1,3,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,1,2,2,2,2,2,4,0,93000491,1,22-OCT-2021,0,1007,10,17.4142636535,2,1,2,2,2,2,2,1,2,1,-1,1,1,2,1,10.1886364559,3,2,3,2,2,3,2,1,2,2,1,2,5,4,40,2,8,2,1,2,1,1,1,1,1,1,1,4,2,12.0,2,2
9,1,1,1,0,0,0,0,83000500,1,1,1,2,2,2,1,-1,1,1,0,2,-2,2,1,1,2,2,12,0,30,0,12,0,-2,1,4,1,1,1,1,2,3,2,-2,2,2,1,0,0,0.0,0,0,3,4,-2,2003,2,2,1,-1,-1,1,1,1,-1,1995,-2,5,1,1,3,3,25,8,4,8,0,80,0,0,1,80,02-MAY-2019,1,1,1,1,1,1,1,1,4,2,1,1,3,1,2,2,5,3,5,1,1,2,1,2,2,1,2,3,3,2,2,-2,-2,-2,-2,-2,-2,-2,-2,4,0,93000501,1,22-OCT-2021,0,2611,26,64.4178189464,2,1,1,2,2,1,2,1,1,1,-1,1,1,2,1,24.4519770377,1,2,1,1,1,3,1,1,1,2,1,1,5,2,50,2,12,1,1,2,3,1,2,1,1,1,1,3,1,-1.0,0,3
10,0,0,0,1,0,0,0,83000650,6,2,2,2,2,2,1,4,0,1,1,2,-2,1,1,1,3,2,19,0,33,0,22,0,-2,1,1,2,2,6,2,2,3,2,-2,1,3,3,0,0,0.0,0,0,1,5,2,1958,2,2,7,1,1,2,2,2,2,1958,0,2,1,2,1,2,20,90,5,0,5,0,5,1,0,0,19-APR-2019,1,1,1,1,1,1,1,1,4,2,1,4,4,3,4,4,5,5,4,4,4,4,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,3,2,2,4,0,93000651,1,22-OCT-2021,1,2011,20,397.4592508672,1,1,1,2,1,1,1,2,1,1,2,1,1,1,3,230.4743658696,1,2,4,1,1,1,1,1,1,2,1,1,5,1,-2,4,9,1,1,2,1,1,1,2,1,1,1,1,1,7.89473684211,0,13
